ID,Site,Subsite,Alternative_Name,Cruise,Month,Year,Type,Resolution,Units,Projection_Description,Projection,Ellipsoid,Server_Location,Filename,Secondary_File,Source,Vessel,Sonar,Frequency_kHz,URL,Note
1,EL,1,NA,2015_12A_BEL_EL,12,2015,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,comit_wrk/ailich/2015_12/QimeraProjects/2015_12/Export/BAGS/EL1.bag,EL1.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL1/Bathymetry/EL1_Bathymetry_CUBE_2m.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,Secondary version projection is UTM 17N event hough should have been UTM 16N
2,EL,1,NA,2015_12A_BEL_EL,12,2015,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,comit_wrk/ailich/2015_12/FMGT_PROJECTS/EL1.fmproj/Output/Mosaic/EL_1_BS_TS_43-47_1m/EL_1_BS_TS_43-47_1m.tif,EL_1_BS_TS_43-47_1m.tif,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL1/Backscatter/EL1_1mTimeSeriesBS_TrimmedtoMosaic_AVG800.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
3,MS,Gap,NA,2016_04_WB2_CBASS,4,2016,Bathymetry,2,m,EPSG:32616,utm 16,+a=6378137 +rf=298.257220143428,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/MS_Gap/Bathymetry/Madison_Swanson_Gap_2m_Swath_Bathy.bag,Madison_Swanson_Gap_2m_Swath_Bathy.bag,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,Did not rerun with QPS suite b/c small
4,MS,Gap,NA,2016_04_WB2_CBASS,4,2016,Backscatter,0.8129610967556675,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/MS_Gap/Backscatter/WBII2016_04_MadisonSwansonGap_Snippetgeotiff.tif,WBII2016_04_MadisonSwansonGap_Snippetgeotiff.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,Did not rerun with QPS suite b/c small
5,SWFMG,1,NA,2016_05_BEL_SWFMG,5,2016,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,comit_wrk/ailich/2016_05/QimeraProject/2016-05-BEL/Export/BAGS/SWFMG1.bag,SWFMG1.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG1/Bathymetry/CUBE/SWFMGMay2016_2.5mCube.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
6,SWFMG,1,NA,2016_05_BEL_SWFMG,5,2016,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,comit_wrk/ailich/2016_05/FMGT_Projects/SWFMG1.fmproj/Output/Mosaic/SWFMG_1_BS_TS_43-47_1m/SWFMG_1_BS_TS_43-47_1m.tif,SWFMG_1_BS_TS_43-47_1m.tif,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG1/Backscatter/SWFMGMay2016_1mBackScatter.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
7,SWFMG,2,NA,2016_06_WB2_SWFMG,6,2016,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,comit_wrk/ailich/2016_06/Qimera_Project/2016-06-WB2/Export/BAGS/SWFMG2.bag,SWFMG2.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG2/Bathymetry/Swath_Angle/SWFMG2June2016_2m.tiff,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
8,SWFMG,2,NA,2016_06_WB2_SWFMG,6,2016,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,comit_wrk/ailich/2016_06/FMGT_Projects/SWFMG2.fmproj/Output/Mosaic/SWFMG_2_BS_TS_43-47_1m/SWFMG_2_BS_TS_43-47_1m.tif,SWFMG_2_BS_TS_43-47_1m.tif,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG2/Backscatter/SWFMG2June2016_1mBackScatter_cropped.tif,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
9,SWFMG,3,NA,2016_07_BEL_SWFMG,7,2016,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,comit_wrk/ailich/2016-07/QimeraProjects/2016-07-BEL/Export/BAGS/SWFMG3.bag,SWFMG3.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG3/Bathymetry/CUBE/SWFMG3July2016Cube_2m.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
10,SWFMG,3,NA,2016_07_BEL_SWFMG,7,2016,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,comit_wrk/ailich/2016-07/FMGT_Projects/SWFMG3.fmproj/Output/Mosaic/SWFMG_3_BS_TS_43-47_1m/SWFMG_3_BS_TS_43-47_1m.tif,SWFMG_3_BS_TS_43-47_1m.tif,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG3/Backscatter/SWFMG3July2016_1mBS.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
11,SWFMG,4,NA,2016_09_BEL_SWFMG,9,2016,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2016_09_BEL_SWFMG/Multibeam/Qimera_Projects/2016-09-BEL/Export/BAGS/SWFMG4.bag,SWFMG4.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG4/Bathymetry/CUBE/SWFMG4Cube2m.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
12,SWFMG,4,NA,2016_09_BEL_SWFMG,9,2016,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2016_09_BEL_SWFMG/Multibeam/FMGT_Projects/SWFMG_4.fmproj/Output/Mosaic/SWFMG_4_BS_TS_43-47_1m/SWFMG_4_BS_TS_43-47_1m.tif,SWFMG_4_BS_TS_43-47_1m.tif,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG4/Backscatter/SWFMG4BeamAverage1m.tiff,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
13,EFMG,1,NA,2017_04_WB2_CBASS,4,2017,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2017_04_WB2_CBASS/Multibeam/Qimera_Projects/2017-04-WB2/Export/BAGS/EFMG1_2m.bag,EFMG1_2m.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/EFMG/EFMG1/Bathymetry/EastFMG1mswathangleApril2017.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
14,EFMG,1,NA,2017_04_WB2_CBASS,4,2017,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2017_04_WB2_CBASS/Multibeam/FMGT_Projects/EFMG1.fmproj/Output/Mosaic/EFMG1_BS_TS_43-47_1m/EFMG1_BS_TS_43-47_1m.tif,EFMG1_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
15,EL,2,NA,2017_04_WB2_CBASS,4,2017,Bathymetry,2,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2017_04_WB2_CBASS/Multibeam/Qimera_Projects/2017-04-WB2/Export/BAGS/EL2_2m.bag,EL2_2m.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/Elbow/EL2/Bathymetry/EL2_AGU.bag,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
16,EL,2,NA,2017_04_WB2_CBASS,4,2017,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2017_04_WB2_CBASS/Multibeam/FMGT_Projects/EL2.fmproj/Output/Mosaic/EL_2_BS_TS_43-47_1m/EL_2_BS_TS_43-47_1m.tif,EL_2_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Weatherbird II,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
17,SWFMG,5,NA,2017_07A_BEL_SWFMG,7,2017,Bathymetry,4,m,WGS_84_UTM_zone_16N,utm 16,WGS84,NFWF/1_Cruises/2017_07A_BEL_SWFMG/Multibeam/QimeraProjects/2017-07A-BEL/Export/BAGS/SWFMG5.bag,SWFMG5.bag,NFWF/2_Projects/GIS/C_Multibeam_C-SCAMP/SWFMG/SWFMG5/Bathymetry/SWFMG5_4mCUBEBathy.bag,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
18,SWFMG,5,NA,2017_07A_BEL_SWFMG,7,2017,Backscatter,1,m,WGS 84 / UTM zone 16N,utm 16,WGS84,NFWF/1_Cruises/2017_07A_BEL_SWFMG/Multibeam/FMGT_Projects/SWFMG5.fmproj/Output/Mosaic/SWFMG_5_BS_TS_43-47_1m/SWFMG_5_BS_TS_43-47_1m.tif,SWFMG_5_BS_TS_43-47_1m.tif,NA,CSCAMP,R/V Bellows,Teledyne Reson SeaBat 7125,400,https://zenodo.org/doi/10.5281/zenodo.8381009,NA
